PRint597_134:1	like	DM(DM)	like
PRint597_134:2	like	DM(DM)	like
PRint597_134:3	p_sheeps	PVC(NNS)	
PRint597_134:4	_0	PA(PA)	
PRint597_134:5	you	PP(DM)	you
PRint597_134:6	know	VVP(DM)	know
PRint597_134:7	you	PP(PP)	you
PRint597_134:8	_0	PA(PA)	
PRint597_134:9	count	VVP(VVP)	count
PRint597_134:10	p_sheeps	PVC(NNS)	
PRint597_134:11	_1	PA(PA)	
PRint597_134:12	over	IN(IN)	over
PRint597_134:13	the	DT(DT)	the

PRint597_135:1	@@@@@@@	LA(LA)	

PRint597_136:1	@@@@@@@	LA(LA)	

PRint597_137:1	yeah	RE(RE)	yeah
PRint597_137:2	@@@	LA(LA)	

PRint597_138:1	@@@@@	LA(LA)	

